Nome;Atualizacao;Link;Bolsista;OrientaÃ§Ãµes e supervisÃµes concluÃ_das;Resumos expandidos publicados em anais de congressos;Trabalhos completos publicados em anais de congressos;Artigos completos publicados em periÃ_dicos;Projetos de ensino;Resumos publicados em anais de congressos;CapÃ_tulos de livros publicados;Projetos de pesquisa;ApresentaÃ§Ãµes de Trabalho;ParticipaÃ§Ã£o em eventos, congressos, exposiÃ§Ãµes e feiras;ParticipaÃ§Ã£o em bancas de trabalhos de conclusÃ£o
Ricardo de Oliveira Gaspar;07/01/2019;http://lattes.cnpq.br/7729328470427064;N/A;0;4;2;9;2;4;0;1;0;0;11
Nara Oliveira Silva Souza;18/12/2018;http://lattes.cnpq.br/5391690094132752;N/A;0;0;0;6;0;13;0;6;0;0;23
JosÃ© Carlos Sorgato;09/01/2019;http://lattes.cnpq.br/3065261111509402;N/A;0;2;2;19;1;9;0;2;5;0;3
Jader Galba Busato;17/12/2018;http://lattes.cnpq.br/6403427750833514;N/A;0;4;1;11;2;4;1;10;0;0;3
Ernandes Rodrigues de Alencar;24/01/2019;http://lattes.cnpq.br/0646231743976574;N/A;0;6;6;9;0;2;0;5;0;0;11
Joadil GonÃ§alves de Abreu;13/01/2019;http://lattes.cnpq.br/1410481664723748;N/A;0;60;2;27;1;5;0;6;0;0;14
Oscarlina LÃºcia dos Santos Weber;19/12/2018;http://lattes.cnpq.br/6385657569274801;N/A;0;20;1;36;0;6;1;13;5;0;44
Tonny JosÃ© AraÃºjo da Silva;30/10/2018;http://lattes.cnpq.br/0651075688988405;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;59;0;72;6;3;15;4;33;0;7
Alessandra Monteiro de Paula;24/04/2018;http://lattes.cnpq.br/9293816616786808;N/A;1;0;1;6;1;3;1;9;1;0;7
Luciano da Silva Cabral;16/01/2019;http://lattes.cnpq.br/8009596890587747;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;1;1;49;0;5;3;1;3;0;8
Cristiano MÃ¡rcio Alves de Souza;18/12/2018;http://lattes.cnpq.br/4203780407747090;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;21;5;21;7;3;2;9;3;0;7
AndrÃ© LuÃ_s Duarte Goneli;04/07/2018;http://lattes.cnpq.br/4006191317686437;N/A;1;37;13;30;4;9;1;11;12;0;25
Guilherme Augusto Biscaro;26/09/2018;http://lattes.cnpq.br/9359649890499769;N/A;0;1;2;20;1;1;9;3;1;0;39
Aloisio Bianchini;09/09/2018;http://lattes.cnpq.br/3623784238232308;N/A;0;2;1;13;0;1;0;2;1;0;0
Edna Maria Bonfim da Silva;18/12/2018;http://lattes.cnpq.br/8660058048761423;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;77;0;101;6;14;20;17;0;0;45
Munir Mauad;14/11/2018;http://lattes.cnpq.br/3165594857111851;N/A;0;6;0;19;0;0;0;2;0;0;30
Milton Ferreira de Moraes;03/09/2018;http://lattes.cnpq.br/1541223007968886;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;13;0;18;1;8;7;4;12;0;9
Tairone Paiva LeÃ£o;15/01/2019;http://lattes.cnpq.br/7920357457851780;N/A;0;4;1;10;0;8;0;1;1;0;5
Fabricio Fagundes Pereira;17/12/2018;http://lattes.cnpq.br/0887969828519150;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 1D;0;2;5;47;1;26;0;8;2;0;4
Francisco de Almeida Lobo;20/12/2018;http://lattes.cnpq.br/0296723198831816;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;0;0;28;0;4;0;8;0;0;13
Ricardo Carmona;18/10/2018;http://lattes.cnpq.br/2233509314950341;N/A;0;1;0;4;0;0;0;0;0;0;5
JosÃ© Holanda Campelo JÃºnior;21/11/2018;http://lattes.cnpq.br/6483708313638774;N/A;0;0;0;17;0;0;1;0;0;0;0
Tathiana Elisa Masetto;12/12/2018;http://lattes.cnpq.br/7943695736866881;N/A;0;14;2;38;0;31;0;5;3;0;9
Marcos Gino Fernandes;15/01/2019;http://lattes.cnpq.br/7129062059790588;N/A;2;0;0;31;1;9;0;4;2;0;15
JoÃ£o Carlos de Souza Maia;04/01/2019;http://lattes.cnpq.br/1729567585742169;N/A;0;0;0;14;0;0;0;0;0;0;0
Mara RÃºbia da Rocha;26/11/2018;http://lattes.cnpq.br/4660306671671575;N/A;0;0;0;13;0;10;0;5;5;0;1
Lilian Maria Arruda Bacchi;12/12/2018;http://lattes.cnpq.br/3246656476700671;N/A;0;1;1;12;0;23;0;5;5;0;53
Maria Lucrecia Gerosa Ramos;22/11/2018;http://lattes.cnpq.br/6416589151349057;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;0;15;24;0;16;4;6;0;0;16
Marlene EstevÃ£o Marchetti;13/02/2018;http://lattes.cnpq.br/1040879768068134;N/A;0;10;3;19;1;5;2;2;0;0;27
Silvana de Paula Quintao Scalon;09/01/2019;http://lattes.cnpq.br/8899775426231131;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;21;1;57;2;39;1;10;10;0;26
